County,Date of  Incident,Practice  Review?,Notification,90 Day,6 Month,age,gender,in_home,out_home,Serious Injury,Death / Alleged maltreatment,Egregious incident,Death / Alleged suicide in out-of-home care,status
Monroe,2021-12-01,Yes,211201DSP-Monro-1109,211201DSP-Monro-1109-90D,211201DSP-Monro-1109-6M,,M,False,True,True,False,False,False,Done
Milwaukee,2021-11-26,Yes,211126DSP-Milw-1108,211126DSP-Milw-1108-90D,211126DSP-Milw-1108-6M,,F,False,True,True,False,False,False,Done
Milwaukee,2021-09-30,Yes,210930DSP-Milw-1107,210930DSP-Milw-1107-90D,210930DSP-Milw-1107-6M,1,M,False,True,False,True,False,False,Done
Milwaukee,2020-05-05,No,200505DSP-Milw-1106,200505DSP-Milw-1106-90D,No,,,,,,,,,No PDF
Sheboygan,2020-01-22,No,200122DSP-Sheb-1104,200122DSP-Sheb-1104-90D,No,,M,False,True,False,True,False,False,Done
Sheboygan,2021-10-24,No,211024DSP-Sheb-1105,211024DSP-Sheb-1105-90D,No,,M,False,True,True,False,False,False,Done
Dodge,2021-10-28,No,211028DSP-Dodge-1102,211028DSP-Dodge-1102-90D,No,7w,M,False,True,False,True,False,False,Done
Milwaukee,2021-10-27,No,211027DSP-Milw-1103,211027DSP-Milw-1103-90D,No,9,M,False,True,True,False,False,False,Done
Milwaukee,2020-02-28,No,200228DSP-Milw-1101,200228DSP-Milw-1101-90D,No,,,,,,,,,No PDF
Kewaunee,2021-10-08,Yes,211005DSP-Kewa-1100,211005DSP-Kewa-1100-90D,211005DSP-Kewa-1100-90D,7,F,False,True,True,False,False,False,Done
Dane,2021-10-06,No,211002DSP-Dane-1099,211002DSP-Dane-1099-90D,No,,,,,,,,,Error Processing
Dane,2021-10-01,No,210928DSP-Dane-1098,210928DSP-Dane-1098-90D,No,,,,,,,,,Error Processing
Polk,2021-09-29,No,210925DSP-Polk-1097,210925DSP-Polk-1097-90D,No,4w,M,False,True,False,False,True,False,Done
Washington,2021-09-21,No,210921DSP-Wash-1096,210921DSP-Wash-1096-90D,No,,F,False,True,False,True,False,False,Done
Eau Claire,2021-09-21,No,210721DSP-EauCl-1094,210721DSP-EauCl1094-90D,No,14,M,False,True,False,True,False,False,Done
Columbia,2021-09-17,No,210917DSP-Colum-1095,210917DSP-Colum-1095-90D,No,,,,,,,,,Error Processing
Milwaukee,2021-09-06,No,210906DSP-Milw-1093,210906DSP-Milw-1093-90D,No,6,M,False,True,False,True,False,False,Done
Kenosha,2021-09-04,No,210904DSP-Keno-1092,210904DSP-Keno-1092-90D,No,8w,Missing,False,True,False,True,False,False,Done
Eau Claire,2021-09-01,Yes,210901DSP-EauCl-1091,210901DSP-EauCl-1091-90D,210901DSP-EauCl-1091-90D,2,M,False,True,True,False,False,False,Done
Milwaukee,2021-07-05,No,210705DSP-Milw-1090,210705DSP-Milw-1090-90D,No,1,M,False,True,False,True,False,False,Done
Milwaukee,2021-08-29,Yes,210829DSP-Milw-1089,210829DSP-Milw-1089-90D,210829DSP-Milw-1089-6M,8,M,False,True,False,True,True,False,Done
Sawyer,2021-08-05,No,210805DSP-Sawyer-1088,210805DSP-Sawyer-1088-90D,No,,,,,,,,,Error Processing
Marathon,2021-08-15,Yes,210815DSP-Mara-1087,210815DSP-Mara-1087-90D,210815DSP-Mara-1087-6M,,,,,,,,,Error Processing
Green Lake,2021-08-01,Yes,210801DSP-GrnLk-1086,210801DSP-GrnLk-1086-90D,210801DSP-GrnLk-1086-6M,,,,,,,,,Error Processing
Sauk,2021-08-06,No,210806DSP-Sauk-1085,210806DSP-Sauk-1085-90D,No,,,,,,,,,Error Processing
Winnebago,2021-08-03,No,210803DSP-Winn-1084,210803DSP-Winn-1084-90D,No,,,,,,,,,Error Processing
Milwaukee,2021-08-01,No,210801DSP-Milw-1083,210801DSP-Milw-1083-90D,No,,,,,,,,,Error Processing
Milwaukee,2021-08-01,No,210801DSP-Milw-1082,210801DSP-Milw-1082-90D,No,,,,,,,,,Error Processing
Eau Claire,2021-07-21,No,210721DSP-EauCl-1081,210721DSP-EauCl-1081-90D,No,,,,,,,,,Error Processing
Dane,2021-07-20,Yes,210720DSP-Dane-1080,210720DSP-Dane-1080-90D,210720DSP-Dane-1080-6M,,,,,,,,,Error Processing
Shawano,2021-07-02,No,210702DSP-Shawn-1079,210702DSP-Shawn-1079-90D,No,,,,,,,,,Error Processing
Milwaukee,2021-06-29,No,210629DSP-Milw-1078,210629DSP-Milw-1078-90D,No,,,,,,,,,Error Processing
Taylor,2021-06-29,No,210629DSP-Tayl-1077,210629DSP-Tayl-1077-90D,No,,,,,,,,,Error Processing
Milwaukee,2021-04-26,No,210426DSP-Milw-1076,210426DSP-Milw-1076-90D,No,,,,,,,,,Error Processing
Milwaukee,2021-06-24,No,210624DSP-Milw-1075,210624DSP-Milw-1075-90D,No,,,,,,,,,Error Processing
Jefferson,2021-06-11,No,210611DSP-Jeff-1074,210611DSP-Jeff-1074-90D,No,,,,,,,,,Error Processing
Rock,2021-04-28,No,210428DSP-Rock-1073,210428DSP-Rock-1073-90D,No,,,,,,,,,Error Processing
Racine,2021-05-31,No,210531DSP-Racin-1072,210531DSP-Racin-1072-90D,No,,,,,,,,,Error Processing
Rock,2021-04-16,No,2100416DSP-Rock-1071,2100416DSP-Rock-1071-90D,No,,,,,,,,,No PDF
Kenosha,2021-05-20,Yes,210520DSP-Keno-1070,210520DSP-Keno-1070-90D,210520DSP-Keno-1070-6M,,,,,,,,,Error Processing
Milwaukee,2021-05-19,No,210519DSP-Milw-1069,210519DSP-Milw-1069-90D,No,,,,,,,,,Error Processing
Saint Croix,2021-05-12,No,210512DSP-StCro-1068,210512DSP-StCro-1068-90D,No,,,,,,,,,Error Processing
Milwaukee,2021-05-09,No,210509DSP-Milw-1067,210509DSP-Milw-1067-90D,No,,,,,,,,,Error Processing
Crawford,2021-05-05,No,210503DSP-Craw-1066,210503DSP-Craw-1066-90D,No,,,,,,,,,Error Processing
Racine,2021-05-03,No,210503DSP-Racin-1065,210503DSP-Racin-1065-90D,No,,,,,,,,,Error Processing
Kenosha,2021-04-20,No,210421DSP-Keno-1064,210421DSP-Keno-1064-90D,No,,,,,,,,,Error Processing
Vernon,2021-04-11,No,210411DSP-Vern-1063,210411DSP-Vern-1063-90D,No,,,,,,,,,Error Processing
Winnebago,2021-04-07,Yes,210407DSP-Winn-1062,210407DSP-Winn-1062-90D,210407DSP-Winn-1062-6M,,,,,,,,,Error Processing
Waupaca,2021-04-05,No,210405DSP-Waup-1061,210405DSP-Waup-1061-90D,No,,,,,,,,,Error Processing
